Date,PC
14-01-2016,13528
14-01-2016,13251
14-01-2016,13203
14-01-2016,13173
14-01-2016,13183
14-01-2016,13127
14-01-2016,13113
14-01-2016,13306
14-01-2016,13567
14-01-2016,13527
14-01-2016,13414
14-01-2016,13454
14-01-2016,13320
14-01-2016,12878
14-01-2016,12817
14-01-2016,12591
14-01-2016,12124
15-01-2016,11848
15-01-2016,11660
15-01-2016,11685
15-01-2016,11768
15-01-2016,12163
15-01-2016,13110
15-01-2016,13596
15-01-2016,13718
15-01-2016,13533
15-01-2016,13381
15-01-2016,13310
15-01-2016,13342
15-01-2016,13275
15-01-2016,13156
15-01-2016,13254
15-01-2016,13624
15-01-2016,13709
15-01-2016,13671
15-01-2016,13630
15-01-2016,13421
15-01-2016,13000
15-01-2016,13087
15-01-2016,12834
15-01-2016,12323
16-01-2016,11933
16-01-2016,11746
16-01-2016,11711
16-01-2016,11728
16-01-2016,11883
16-01-2016,12170
16-01-2016,12259
16-01-2016,12653
16-01-2016,12724
16-01-2016,12876
16-01-2016,12877
16-01-2016,12828
16-01-2016,12659
16-01-2016,12552
16-01-2016,12751
16-01-2016,13304
16-01-2016,13643
16-01-2016,13738
16-01-2016,13623
16-01-2016,13203
16-01-2016,12765
16-01-2016,12783
16-01-2016,12687
16-01-2016,12231
17-01-2016,11837
17-01-2016,11594
17-01-2016,11514
17-01-2016,11493
17-01-2016,11523
17-01-2016,11676
17-01-2016,11590
17-01-2016,11921
17-01-2016,12030
17-01-2016,12269
17-01-2016,12472
17-01-2016,12503
17-01-2016,12477
17-01-2016,12451
17-01-2016,12565
17-01-2016,13114
17-01-2016,13367
17-01-2016,13404
17-01-2016,13465
17-01-2016,13216
17-01-2016,12907
17-01-2016,13121
17-01-2016,12991
17-01-2016,12657
18-01-2016,12325
18-01-2016,12166
18-01-2016,12165
18-01-2016,12341
18-01-2016,12767
18-01-2016,13704
18-01-2016,14153
18-01-2016,14434
18-01-2016,14300
18-01-2016,14224
18-01-2016,14211
18-01-2016,14164
18-01-2016,14061
18-01-2016,13973
18-01-2016,13972
18-01-2016,14148
18-01-2016,14213
18-01-2016,14113
18-01-2016,14108
18-01-2016,14025
18-01-2016,13555
18-01-2016,13504
18-01-2016,13278
18-01-2016,12911
19-01-2016,12553
19-01-2016,12358
19-01-2016,12328
19-01-2016,12458
19-01-2016,12775
19-01-2016,13652
19-01-2016,13994
19-01-2016,14155
19-01-2016,13981
19-01-2016,13944
19-01-2016,13951
19-01-2016,13937
19-01-2016,13851
19-01-2016,13825
19-01-2016,13735
19-01-2016,13967
19-01-2016,14087
19-01-2016,14036
19-01-2016,14064
19-01-2016,13958
19-01-2016,13461
19-01-2016,13428
19-01-2016,13224
19-01-2016,12807
20-01-2016,12536
20-01-2016,12343
20-01-2016,12342
20-01-2016,12496
20-01-2016,12852
20-01-2016,13683
20-01-2016,14113
20-01-2016,14406
20-01-2016,14202
20-01-2016,14244
20-01-2016,14228
20-01-2016,14132
20-01-2016,13985
20-01-2016,13962
20-01-2016,13922
20-01-2016,14141
20-01-2016,14335
20-01-2016,14375
20-01-2016,14409
20-01-2016,14240
20-01-2016,13712
20-01-2016,13637
20-01-2016,13439
20-01-2016,13044
21-01-2016,12743
21-01-2016,12512
21-01-2016,12407
21-01-2016,12553
21-01-2016,12933
21-01-2016,13785
21-01-2016,14071
21-01-2016,14199
21-01-2016,14060
21-01-2016,14051
21-01-2016,13993
21-01-2016,13997
21-01-2016,13932
21-01-2016,13858
21-01-2016,13887
21-01-2016,14042
21-01-2016,14316
21-01-2016,14346
21-01-2016,14395
21-01-2016,14329
21-01-2016,13724
21-01-2016,13726
21-01-2016,13611
21-01-2016,13264
22-01-2016,13013
22-01-2016,12891
22-01-2016,12920
22-01-2016,13072
22-01-2016,13510
22-01-2016,14333
22-01-2016,14527
22-01-2016,14771
22-01-2016,14617
22-01-2016,14722
22-01-2016,14756
22-01-2016,14597
22-01-2016,14439
22-01-2016,14256
22-01-2016,14170
22-01-2016,14294
22-01-2016,14389
22-01-2016,14297
22-01-2016,14156
22-01-2016,13757
22-01-2016,13322
22-01-2016,13286
22-01-2016,12981
22-01-2016,12412
23-01-2016,12037
23-01-2016,11733
23-01-2016,11529
23-01-2016,11444
23-01-2016,11502
23-01-2016,11742
23-01-2016,11814
23-01-2016,12078
23-01-2016,12037
23-01-2016,12051
23-01-2016,12051
23-01-2016,11978
23-01-2016,11914
23-01-2016,11784
23-01-2016,11884
23-01-2016,12286
23-01-2016,12675
23-01-2016,12749
23-01-2016,12447
23-01-2016,12015
23-01-2016,11549
23-01-2016,11677
23-01-2016,11510
23-01-2016,11065
24-01-2016,10635
24-01-2016,10383
24-01-2016,10258
24-01-2016,10212
24-01-2016,10271
24-01-2016,10433
24-01-2016,10449
24-01-2016,10666
24-01-2016,10731
24-01-2016,10908
24-01-2016,11056
24-01-2016,11089
24-01-2016,10997
24-01-2016,11011
24-01-2016,11079
24-01-2016,11366
24-01-2016,11692
24-01-2016,11730
24-01-2016,11674
24-01-2016,11488
