Date,Hours,PC
30-07-2013,05 - 06,7525
30-07-2013,06 - 07,8176
30-07-2013,07 - 08,8513
30-07-2013,08 - 09,8720
30-07-2013,09 - 10,8845
30-07-2013,10 - 11,8963
30-07-2013,11 - 12,9016
30-07-2013,12 - 13,8986
30-07-2013,13 - 14,8841
30-07-2013,14 - 15,8730
30-07-2013,15 - 16,8600
30-07-2013,16 - 17,8498
30-07-2013,17 - 18,8439
30-07-2013,18 - 19,8436
30-07-2013,19 - 20,8367
30-07-2013,20 - 21,8058
30-07-2013,21 - 22,8083
30-07-2013,22 - 23,7974
30-07-2013,23 - 00,7548
31-07-2013,00 - 01,7069
31-07-2013,01 - 02,6888
31-07-2013,02 - 03,6782
31-07-2013,03 - 04,6724
31-07-2013,04 - 05,6819
31-07-2013,05 - 06,7437
31-07-2013,06 - 07,8133
31-07-2013,07 - 08,8433
31-07-2013,08 - 09,8600
31-07-2013,09 - 10,8688
31-07-2013,10 - 11,8667
31-07-2013,11 - 12,8729
31-07-2013,12 - 13,8790
31-07-2013,13 - 14,8699
31-07-2013,14 - 15,8619
31-07-2013,15 - 16,8579
31-07-2013,16 - 17,8540
31-07-2013,17 - 18,8420
31-07-2013,18 - 19,8464
31-07-2013,19 - 20,8427
31-07-2013,20 - 21,8134
31-07-2013,21 - 22,8152
31-07-2013,22 - 23,8124
31-07-2013,23 - 00,7654
01-08-2013,00 - 01,7265
01-08-2013,01 - 02,7005
01-08-2013,02 - 03,6959
01-08-2013,03 - 04,6810
01-08-2013,04 - 05,6819
01-08-2013,05 - 06,7424
01-08-2013,06 - 07,7974
01-08-2013,07 - 08,8328
01-08-2013,08 - 09,8521
01-08-2013,09 - 10,8579
01-08-2013,10 - 11,8641
01-08-2013,11 - 12,8671
01-08-2013,12 - 13,8650
01-08-2013,13 - 14,8593
01-08-2013,14 - 15,8485
01-08-2013,15 - 16,8424
01-08-2013,16 - 17,8336
01-08-2013,17 - 18,8314
01-08-2013,18 - 19,8342
01-08-2013,19 - 20,8364
01-08-2013,20 - 21,8066
01-08-2013,21 - 22,8131
01-08-2013,22 - 23,8082
01-08-2013,23 - 00,7730
02-08-2013,00 - 01,7345
02-08-2013,01 - 02,7162
02-08-2013,02 - 03,7094
02-08-2013,03 - 04,7008
02-08-2013,04 - 05,7059
02-08-2013,05 - 06,7698
02-08-2013,06 - 07,8290
02-08-2013,07 - 08,8616
02-08-2013,08 - 09,8756
02-08-2013,09 - 10,8832
02-08-2013,10 - 11,8827
02-08-2013,11 - 12,8848
02-08-2013,12 - 13,8783
02-08-2013,13 - 14,8686
02-08-2013,14 - 15,8585
02-08-2013,15 - 16,8529
02-08-2013,16 - 17,8431
02-08-2013,17 - 18,8295
02-08-2013,18 - 19,8318
02-08-2013,19 - 20,8298
02-08-2013,20 - 21,8034
02-08-2013,21 - 22,8095
02-08-2013,22 - 23,8087
02-08-2013,23 - 00,7733
03-08-2013,00 - 01,7291
03-08-2013,01 - 02,7105
03-08-2013,02 - 03,7007
03-08-2013,03 - 04,6880
03-08-2013,04 - 05,6775
03-08-2013,05 - 06,6947
03-08-2013,06 - 07,7177
03-08-2013,07 - 08,7474
03-08-2013,08 - 09,7727
03-08-2013,09 - 10,7856
03-08-2013,10 - 11,7943
03-08-2013,11 - 12,7993
03-08-2013,12 - 13,7931
03-08-2013,13 - 14,7899
03-08-2013,14 - 15,7936
03-08-2013,15 - 16,7940
03-08-2013,16 - 17,7968
03-08-2013,17 - 18,7922
03-08-2013,18 - 19,7838
03-08-2013,19 - 20,7705
03-08-2013,20 - 21,7628
03-08-2013,21 - 22,7827
03-08-2013,22 - 23,7838
03-08-2013,23 - 00,7501
04-08-2013,00 - 01,7078
04-08-2013,01 - 02,6842
04-08-2013,02 - 03,6743
04-08-2013,03 - 04,6592
04-08-2013,04 - 05,6449
04-08-2013,05 - 06,6532
04-08-2013,06 - 07,6657
04-08-2013,07 - 08,6839
04-08-2013,08 - 09,7104
04-08-2013,09 - 10,7325
04-08-2013,10 - 11,7482
04-08-2013,11 - 12,7571
04-08-2013,12 - 13,7582
04-08-2013,13 - 14,7573
04-08-2013,14 - 15,7620
04-08-2013,15 - 16,7620
04-08-2013,16 - 17,7641
04-08-2013,17 - 18,7622
04-08-2013,18 - 19,7627
04-08-2013,19 - 20,7656
04-08-2013,20 - 21,7608
04-08-2013,21 - 22,7899
04-08-2013,22 - 23,7879
04-08-2013,23 - 00,7539
05-08-2013,00 - 01,7137
05-08-2013,01 - 02,6954
05-08-2013,02 - 03,6889
05-08-2013,03 - 04,6860
05-08-2013,04 - 05,6962
05-08-2013,05 - 06,7615
05-08-2013,06 - 07,8217
05-08-2013,07 - 08,8598
05-08-2013,08 - 09,8847
05-08-2013,09 - 10,8963
05-08-2013,10 - 11,9057
05-08-2013,11 - 12,9120
05-08-2013,12 - 13,9054
05-08-2013,13 - 14,8997
05-08-2013,14 - 15,8897
05-08-2013,15 - 16,8717
05-08-2013,16 - 17,8610
05-08-2013,17 - 18,8486
05-08-2013,18 - 19,8431
05-08-2013,19 - 20,8428
05-08-2013,20 - 21,8170
05-08-2013,21 - 22,8269
05-08-2013,22 - 23,8129
05-08-2013,23 - 00,7700
06-08-2013,00 - 01,7251
06-08-2013,01 - 02,7072
06-08-2013,02 - 03,6999
06-08-2013,03 - 04,6898
06-08-2013,04 - 05,6991
06-08-2013,05 - 06,7673
06-08-2013,06 - 07,8209
06-08-2013,07 - 08,8537
06-08-2013,08 - 09,8782
06-08-2013,09 - 10,8874
06-08-2013,10 - 11,8933
06-08-2013,11 - 12,8985
06-08-2013,12 - 13,8944
06-08-2013,13 - 14,8806
06-08-2013,14 - 15,8717
06-08-2013,15 - 16,8599
06-08-2013,16 - 17,8565
06-08-2013,17 - 18,8446
06-08-2013,18 - 19,8430
06-08-2013,19 - 20,8356
06-08-2013,20 - 21,8107
06-08-2013,21 - 22,8245
06-08-2013,22 - 23,8117
06-08-2013,23 - 00,7668
07-08-2013,00 - 01,7280
07-08-2013,01 - 02,7079
07-08-2013,02 - 03,6948
07-08-2013,03 - 04,6850
07-08-2013,04 - 05,6916
07-08-2013,05 - 06,7665
07-08-2013,06 - 07,8368
07-08-2013,07 - 08,8667
07-08-2013,08 - 09,8899
07-08-2013,09 - 10,8906
07-08-2013,10 - 11,8941
07-08-2013,11 - 12,9036
07-08-2013,12 - 13,8932
07-08-2013,13 - 14,8912
07-08-2013,14 - 15,8862
07-08-2013,15 - 16,8748
07-08-2013,16 - 17,8646
07-08-2013,17 - 18,8584
07-08-2013,18 - 19,8690
07-08-2013,19 - 20,8607
07-08-2013,20 - 21,8280
07-08-2013,21 - 22,8302
07-08-2013,22 - 23,8173
07-08-2013,23 - 00,7670
08-08-2013,00 - 01,7256
08-08-2013,01 - 02,7080
08-08-2013,02 - 03,7069
08-08-2013,03 - 04,7072
08-08-2013,04 - 05,7128
08-08-2013,05 - 06,7807
08-08-2013,06 - 07,8559
08-08-2013,07 - 08,8888
08-08-2013,08 - 09,9112
08-08-2013,09 - 10,9240
08-08-2013,10 - 11,9211
08-08-2013,11 - 12,9155
08-08-2013,12 - 13,9062
08-08-2013,13 - 14,8978
08-08-2013,14 - 15,8882
08-08-2013,15 - 16,8769
08-08-2013,16 - 17,8658
08-08-2013,17 - 18,8554
08-08-2013,18 - 19,8509
08-08-2013,19 - 20,8510
08-08-2013,20 - 21,8278
08-08-2013,21 - 22,8395
08-08-2013,22 - 23,8199
08-08-2013,23 - 00,7777
09-08-2013,00 - 01,7329
09-08-2013,01 - 02,7210
09-08-2013,02 - 03,7176
09-08-2013,03 - 04,7141
09-08-2013,04 - 05,7216
09-08-2013,05 - 06,7879
09-08-2013,06 - 07,8553
09-08-2013,07 - 08,8873
09-08-2013,08 - 09,9080
09-08-2013,09 - 10,9224
09-08-2013,10 - 11,9182
09-08-2013,11 - 12,9208
09-08-2013,12 - 13,9166
09-08-2013,13 - 14,9094
09-08-2013,14 - 15,8945
09-08-2013,15 - 16,8765
09-08-2013,16 - 17,8690
09-08-2013,17 - 18,8564
09-08-2013,18 - 19,8569
09-08-2013,19 - 20,8484
09-08-2013,20 - 21,8208
09-08-2013,21 - 22,8224
09-08-2013,22 - 23,8023
09-08-2013,23 - 00,7562
10-08-2013,00 - 01,7144
10-08-2013,01 - 02,6955
10-08-2013,02 - 03,6847
10-08-2013,03 - 04,6792
10-08-2013,04 - 05,6688
10-08-2013,05 - 06,6808
10-08-2013,06 - 07,6961
10-08-2013,07 - 08,7284
10-08-2013,08 - 09,7556
10-08-2013,09 - 10,7715
10-08-2013,10 - 11,7819
10-08-2013,11 - 12,7868
10-08-2013,12 - 13,7832
10-08-2013,13 - 14,7771
10-08-2013,14 - 15,7771
10-08-2013,15 - 16,7838
10-08-2013,16 - 17,7946
10-08-2013,17 - 18,7929
10-08-2013,18 - 19,7980
10-08-2013,19 - 20,7888
10-08-2013,20 - 21,7788
10-08-2013,21 - 22,8016
10-08-2013,22 - 23,7927
10-08-2013,23 - 00,7530
11-08-2013,00 - 01,7143
11-08-2013,01 - 02,7001
11-08-2013,02 - 03,6897
11-08-2013,03 - 04,6825
11-08-2013,04 - 05,6647
11-08-2013,05 - 06,6643
11-08-2013,06 - 07,6753
11-08-2013,07 - 08,7014
11-08-2013,08 - 09,7284
11-08-2013,09 - 10,7473
11-08-2013,10 - 11,7625
11-08-2013,11 - 12,7621
11-08-2013,12 - 13,7621
11-08-2013,13 - 14,7591
11-08-2013,14 - 15,7614
11-08-2013,15 - 16,7685
11-08-2013,16 - 17,7774
11-08-2013,17 - 18,7740
11-08-2013,18 - 19,7813
11-08-2013,19 - 20,7887
11-08-2013,20 - 21,7801
11-08-2013,21 - 22,8078
11-08-2013,22 - 23,8014
11-08-2013,23 - 00,7683
12-08-2013,00 - 01,7356
12-08-2013,01 - 02,7180
12-08-2013,02 - 03,7149
12-08-2013,03 - 04,7121
12-08-2013,04 - 05,7126
12-08-2013,05 - 06,7904
12-08-2013,06 - 07,8587
12-08-2013,07 - 08,8940
12-08-2013,08 - 09,9179
12-08-2013,09 - 10,9238
12-08-2013,10 - 11,9304
12-08-2013,11 - 12,9280
12-08-2013,12 - 13,9213
12-08-2013,13 - 14,9128
12-08-2013,14 - 15,9013
12-08-2013,15 - 16,8878
12-08-2013,16 - 17,8731
12-08-2013,17 - 18,8710
12-08-2013,18 - 19,8666
12-08-2013,19 - 20,8608
12-08-2013,20 - 21,8444
12-08-2013,21 - 22,8495
12-08-2013,22 - 23,8286
12-08-2013,23 - 00,7793
13-08-2013,00 - 01,7394
13-08-2013,01 - 02,7223
13-08-2013,02 - 03,7177
13-08-2013,03 - 04,7140
13-08-2013,04 - 05,7198
13-08-2013,05 - 06,7961
13-08-2013,06 - 07,8704
13-08-2013,07 - 08,9054
13-08-2013,08 - 09,9168
13-08-2013,09 - 10,9244
13-08-2013,10 - 11,9278
13-08-2013,11 - 12,9276
13-08-2013,12 - 13,9204
13-08-2013,13 - 14,9056
13-08-2013,14 - 15,8964
13-08-2013,15 - 16,8876
13-08-2013,16 - 17,8818
13-08-2013,17 - 18,8679
13-08-2013,18 - 19,8723
13-08-2013,19 - 20,8738
13-08-2013,20 - 21,8532
13-08-2013,21 - 22,8577
13-08-2013,22 - 23,8364
13-08-2013,23 - 00,7971
14-08-2013,00 - 01,7571
14-08-2013,01 - 02,7364
14-08-2013,02 - 03,7299
14-08-2013,03 - 04,7335
14-08-2013,04 - 05,7470
14-08-2013,05 - 06,8121
14-08-2013,06 - 07,8850
14-08-2013,07 - 08,9179
14-08-2013,08 - 09,9349
14-08-2013,09 - 10,9415
14-08-2013,10 - 11,9391
14-08-2013,11 - 12,9331
14-08-2013,12 - 13,9277
14-08-2013,13 - 14,9193
14-08-2013,14 - 15,9137
14-08-2013,15 - 16,9036
14-08-2013,16 - 17,9051
14-08-2013,17 - 18,9019
14-08-2013,18 - 19,9088
14-08-2013,19 - 20,8953
14-08-2013,20 - 21,8716
14-08-2013,21 - 22,8614
14-08-2013,22 - 23,8320
14-08-2013,23 - 00,7882
15-08-2013,00 - 01,7513
15-08-2013,01 - 02,7307
15-08-2013,02 - 03,7169
15-08-2013,03 - 04,7195
15-08-2013,04 - 05,7263
15-08-2013,05 - 06,7770
15-08-2013,06 - 07,8489
15-08-2013,07 - 08,8886
15-08-2013,08 - 09,9070
15-08-2013,09 - 10,9217
15-08-2013,10 - 11,9193
15-08-2013,11 - 12,9223
15-08-2013,12 - 13,9183
15-08-2013,13 - 14,9077
15-08-2013,14 - 15,9109
15-08-2013,15 - 16,8950
15-08-2013,16 - 17,8945
15-08-2013,17 - 18,8839
15-08-2013,18 - 19,8653
15-08-2013,19 - 20,8695
15-08-2013,20 - 21,8444
15-08-2013,21 - 22,8422
15-08-2013,22 - 23,8187
15-08-2013,23 - 00,7769
16-08-2013,00 - 01,7410
16-08-2013,01 - 02,7279
16-08-2013,02 - 03,7284
16-08-2013,03 - 04,7260
16-08-2013,04 - 05,7297
16-08-2013,05 - 06,7948
16-08-2013,06 - 07,8626
16-08-2013,07 - 08,8866
16-08-2013,08 - 09,9049
16-08-2013,09 - 10,9186
16-08-2013,10 - 11,9188
16-08-2013,11 - 12,9174
16-08-2013,12 - 13,9055
16-08-2013,13 - 14,8924
16-08-2013,14 - 15,8862
16-08-2013,15 - 16,8786
16-08-2013,16 - 17,8709
16-08-2013,17 - 18,8562
16-08-2013,18 - 19,8491
16-08-2013,19 - 20,8463
16-08-2013,20 - 21,8395
16-08-2013,21 - 22,8473
16-08-2013,22 - 23,8338
16-08-2013,23 - 00,7861
17-08-2013,00 - 01,7422
17-08-2013,01 - 02,7190
17-08-2013,02 - 03,7130
17-08-2013,03 - 04,7094
17-08-2013,04 - 05,6905
17-08-2013,05 - 06,7041
17-08-2013,06 - 07,7321
17-08-2013,07 - 08,7606
17-08-2013,08 - 09,7884
17-08-2013,09 - 10,8006
17-08-2013,10 - 11,8102
17-08-2013,11 - 12,8191
17-08-2013,12 - 13,8218
17-08-2013,13 - 14,8233
17-08-2013,14 - 15,8284
17-08-2013,15 - 16,8331
17-08-2013,16 - 17,8348
17-08-2013,17 - 18,8273
17-08-2013,18 - 19,8449
17-08-2013,19 - 20,8334
17-08-2013,20 - 21,8223
17-08-2013,21 - 22,8203
17-08-2013,22 - 23,8060
17-08-2013,23 - 00,7665
18-08-2013,00 - 01,7282
18-08-2013,01 - 02,7071
18-08-2013,02 - 03,6946
18-08-2013,03 - 04,6963
18-08-2013,04 - 05,6820
18-08-2013,05 - 06,6771
18-08-2013,06 - 07,6893
18-08-2013,07 - 08,7109
18-08-2013,08 - 09,7294
18-08-2013,09 - 10,7523
18-08-2013,10 - 11,7707
18-08-2013,11 - 12,7791
18-08-2013,12 - 13,7750
18-08-2013,13 - 14,7687
18-08-2013,14 - 15,7696
18-08-2013,15 - 16,7738
18-08-2013,16 - 17,7794
18-08-2013,17 - 18,7797
18-08-2013,18 - 19,7870
18-08-2013,19 - 20,7898
18-08-2013,20 - 21,7907
18-08-2013,21 - 22,8116
18-08-2013,22 - 23,7898
18-08-2013,23 - 00,7521
19-08-2013,00 - 01,7156
19-08-2013,01 - 02,6982
19-08-2013,02 - 03,6936
19-08-2013,03 - 04,6916
19-08-2013,04 - 05,7088
19-08-2013,05 - 06,7873
19-08-2013,06 - 07,8560
19-08-2013,07 - 08,8920
19-08-2013,08 - 09,9088
19-08-2013,09 - 10,9215
19-08-2013,10 - 11,9315
19-08-2013,11 - 12,9129
19-08-2013,12 - 13,9096
19-08-2013,13 - 14,8978
19-08-2013,14 - 15,8955
19-08-2013,15 - 16,8833
19-08-2013,16 - 17,8701
19-08-2013,17 - 18,8548
19-08-2013,18 - 19,8517
19-08-2013,19 - 20,8540
19-08-2013,20 - 21,8378
19-08-2013,21 - 22,8342
19-08-2013,22 - 23,8000
19-08-2013,23 - 00,7586
20-08-2013,00 - 01,7173
20-08-2013,01 - 02,6978
20-08-2013,02 - 03,6989
20-08-2013,03 - 04,7047
20-08-2013,04 - 05,7152
20-08-2013,05 - 06,7797
20-08-2013,06 - 07,8513
20-08-2013,07 - 08,8836
20-08-2013,08 - 09,8935
20-08-2013,09 - 10,8941
20-08-2013,10 - 11,8976
20-08-2013,11 - 12,8921
20-08-2013,12 - 13,8822
20-08-2013,13 - 14,8794
20-08-2013,14 - 15,8713
20-08-2013,15 - 16,8531
20-08-2013,16 - 17,8538
20-08-2013,17 - 18,8368
20-08-2013,18 - 19,8420
20-08-2013,19 - 20,8449
20-08-2013,20 - 21,8354
20-08-2013,21 - 22,8285
20-08-2013,22 - 23,8021
20-08-2013,23 - 00,7650
21-08-2013,00 - 01,7290
21-08-2013,01 - 02,7118
21-08-2013,02 - 03,7082
21-08-2013,03 - 04,7077
21-08-2013,04 - 05,7214
21-08-2013,05 - 06,7868
21-08-2013,06 - 07,8522
21-08-2013,07 - 08,8751
21-08-2013,08 - 09,8934
21-08-2013,09 - 10,8938
21-08-2013,10 - 11,9004
21-08-2013,11 - 12,9023
21-08-2013,12 - 13,8950
21-08-2013,13 - 14,8829
21-08-2013,14 - 15,8655
21-08-2013,15 - 16,8537
21-08-2013,16 - 17,8512
21-08-2013,17 - 18,8442
21-08-2013,18 - 19,8521
21-08-2013,19 - 20,8539
21-08-2013,20 - 21,8465
21-08-2013,21 - 22,8351
21-08-2013,22 - 23,8008
21-08-2013,23 - 00,7576
22-08-2013,00 - 01,7229
22-08-2013,01 - 02,7054
22-08-2013,02 - 03,6974
22-08-2013,03 - 04,6993
22-08-2013,04 - 05,7192
22-08-2013,05 - 06,7862
22-08-2013,06 - 07,8522
22-08-2013,07 - 08,8842
22-08-2013,08 - 09,8953
22-08-2013,09 - 10,9032
22-08-2013,10 - 11,9035
22-08-2013,11 - 12,9017
22-08-2013,12 - 13,8912
22-08-2013,13 - 14,8821
22-08-2013,14 - 15,8779
22-08-2013,15 - 16,8678
22-08-2013,16 - 17,8615
22-08-2013,17 - 18,8542
22-08-2013,18 - 19,8589
22-08-2013,19 - 20,8594
22-08-2013,20 - 21,8561
22-08-2013,21 - 22,8422
22-08-2013,22 - 23,8177
22-08-2013,23 - 00,7831
23-08-2013,00 - 01,7417
23-08-2013,01 - 02,7203
23-08-2013,02 - 03,7234
23-08-2013,03 - 04,7272
23-08-2013,04 - 05,7398
23-08-2013,05 - 06,8092
23-08-2013,06 - 07,8853
23-08-2013,07 - 08,9079
23-08-2013,08 - 09,9139
23-08-2013,09 - 10,9068
23-08-2013,10 - 11,9047
23-08-2013,11 - 12,9031
23-08-2013,12 - 13,9010
23-08-2013,13 - 14,8857
23-08-2013,14 - 15,8799
23-08-2013,15 - 16,8643
23-08-2013,16 - 17,8601
23-08-2013,17 - 18,8555
23-08-2013,18 - 19,8670
23-08-2013,19 - 20,8634
23-08-2013,20 - 21,8633
23-08-2013,21 - 22,8579
23-08-2013,22 - 23,8356
23-08-2013,23 - 00,7857
24-08-2013,00 - 01,7444
24-08-2013,01 - 02,7303
24-08-2013,02 - 03,7278
24-08-2013,03 - 04,7233
24-08-2013,04 - 05,7166
24-08-2013,05 - 06,7230
24-08-2013,06 - 07,7434
24-08-2013,07 - 08,7630
24-08-2013,08 - 09,7884
24-08-2013,09 - 10,7989
24-08-2013,10 - 11,7962
24-08-2013,11 - 12,7969
24-08-2013,12 - 13,7883
24-08-2013,13 - 14,7853
24-08-2013,14 - 15,7917
24-08-2013,15 - 16,7945
24-08-2013,16 - 17,8015
24-08-2013,17 - 18,8017
24-08-2013,18 - 19,8162
24-08-2013,19 - 20,8081
24-08-2013,20 - 21,8090
24-08-2013,21 - 22,8180
24-08-2013,22 - 23,8070
24-08-2013,23 - 00,7731
25-08-2013,00 - 01,7364
25-08-2013,01 - 02,7193
25-08-2013,02 - 03,7107
25-08-2013,03 - 04,7114
25-08-2013,04 - 05,6965
25-08-2013,05 - 06,6939
25-08-2013,06 - 07,7087
25-08-2013,07 - 08,7253
25-08-2013,08 - 09,7473
25-08-2013,09 - 10,7638
25-08-2013,10 - 11,7715
25-08-2013,11 - 12,7803
25-08-2013,12 - 13,7728
25-08-2013,13 - 14,7691
25-08-2013,14 - 15,7702
25-08-2013,15 - 16,7720
25-08-2013,16 - 17,7737
25-08-2013,17 - 18,7801
25-08-2013,18 - 19,7944
25-08-2013,19 - 20,8056
25-08-2013,20 - 21,8170
25-08-2013,21 - 22,8193
25-08-2013,22 - 23,8081
25-08-2013,23 - 00,7814
26-08-2013,00 - 01,7483
26-08-2013,01 - 02,7249
26-08-2013,02 - 03,7203
26-08-2013,03 - 04,7299
26-08-2013,04 - 05,7476
26-08-2013,05 - 06,8125
26-08-2013,06 - 07,8790
26-08-2013,07 - 08,9109
26-08-2013,08 - 09,9252
26-08-2013,09 - 10,9321
26-08-2013,10 - 11,9376
26-08-2013,11 - 12,9312
26-08-2013,12 - 13,9323
26-08-2013,13 - 14,9304
26-08-2013,14 - 15,9195
26-08-2013,15 - 16,9019
26-08-2013,16 - 17,8915
26-08-2013,17 - 18,8738
26-08-2013,18 - 19,8730
26-08-2013,19 - 20,8743
26-08-2013,20 - 21,8769
26-08-2013,21 - 22,8633
26-08-2013,22 - 23,8363
26-08-2013,23 - 00,7875
27-08-2013,00 - 01,7432
27-08-2013,01 - 02,7274
27-08-2013,02 - 03,7237
27-08-2013,03 - 04,7274
27-08-2013,04 - 05,7455
27-08-2013,05 - 06,8131
27-08-2013,06 - 07,8793
27-08-2013,07 - 08,9040
27-08-2013,08 - 09,9231
27-08-2013,09 - 10,9323
27-08-2013,10 - 11,9311
27-08-2013,11 - 12,9320
27-08-2013,12 - 13,9227
27-08-2013,13 - 14,9131
27-08-2013,14 - 15,9066
27-08-2013,15 - 16,8871
27-08-2013,16 - 17,8763
27-08-2013,17 - 18,8571
27-08-2013,18 - 19,8568
27-08-2013,19 - 20,8581
27-08-2013,20 - 21,8575
27-08-2013,21 - 22,8344
27-08-2013,22 - 23,8083
27-08-2013,23 - 00,7628
28-08-2013,00 - 01,7189
28-08-2013,01 - 02,7007
28-08-2013,02 - 03,7020
28-08-2013,03 - 04,7062
28-08-2013,04 - 05,7249
28-08-2013,05 - 06,7830
28-08-2013,06 - 07,8535
28-08-2013,07 - 08,8909
28-08-2013,08 - 09,9096
28-08-2013,09 - 10,9071
28-08-2013,10 - 11,9083
28-08-2013,11 - 12,9062
28-08-2013,12 - 13,9079
28-08-2013,13 - 14,9023
28-08-2013,14 - 15,8899
28-08-2013,15 - 16,8799
28-08-2013,16 - 17,8758
28-08-2013,17 - 18,8648
28-08-2013,18 - 19,8757
28-08-2013,19 - 20,8798
28-08-2013,20 - 21,8757
28-08-2013,21 - 22,8465
28-08-2013,22 - 23,8184
28-08-2013,23 - 00,7738
29-08-2013,00 - 01,7406
29-08-2013,01 - 02,7210
29-08-2013,02 - 03,7113
29-08-2013,03 - 04,7173
29-08-2013,04 - 05,7389
29-08-2013,05 - 06,7957
29-08-2013,06 - 07,8510
29-08-2013,07 - 08,8841
29-08-2013,08 - 09,9062
29-08-2013,09 - 10,9098
29-08-2013,10 - 11,9048
29-08-2013,11 - 12,8990
29-08-2013,12 - 13,8932
29-08-2013,13 - 14,8855
29-08-2013,14 - 15,8784
29-08-2013,15 - 16,8718
29-08-2013,16 - 17,8629
29-08-2013,17 - 18,8519
29-08-2013,18 - 19,8561
29-08-2013,19 - 20,8677
29-08-2013,20 - 21,8705
29-08-2013,21 - 22,8494
29-08-2013,22 - 23,8150
29-08-2013,23 - 00,7740
30-08-2013,00 - 01,7379
30-08-2013,01 - 02,7210
30-08-2013,02 - 03,7182
30-08-2013,03 - 04,7250
30-08-2013,04 - 05,7533
30-08-2013,05 - 06,8155
30-08-2013,06 - 07,8783
30-08-2013,07 - 08,9130
30-08-2013,08 - 09,9286
30-08-2013,09 - 10,9298
30-08-2013,10 - 11,9299
30-08-2013,11 - 12,9295
30-08-2013,12 - 13,9223
30-08-2013,13 - 14,9041
30-08-2013,14 - 15,8925
30-08-2013,15 - 16,8804
30-08-2013,16 - 17,8724
30-08-2013,17 - 18,8653
30-08-2013,18 - 19,8706
30-08-2013,19 - 20,8804
30-08-2013,20 - 21,8848
30-08-2013,21 - 22,8584
30-08-2013,22 - 23,8343
30-08-2013,23 - 00,7915
31-08-2013,00 - 01,7551
31-08-2013,01 - 02,7343
31-08-2013,02 - 03,7245
31-08-2013,03 - 04,7229
31-08-2013,04 - 05,7305
31-08-2013,05 - 06,7267
31-08-2013,06 - 07,7456
31-08-2013,07 - 08,7706
31-08-2013,08 - 09,8014
31-08-2013,09 - 10,8129
31-08-2013,10 - 11,8132
31-08-2013,11 - 12,8088
31-08-2013,12 - 13,8007
31-08-2013,13 - 14,7933
31-08-2013,14 - 15,7985
31-08-2013,15 - 16,8010
31-08-2013,16 - 17,8129
31-08-2013,17 - 18,8149
31-08-2013,18 - 19,8236
31-08-2013,19 - 20,8248
31-08-2013,20 - 21,8325
31-08-2013,21 - 22,8206
31-08-2013,22 - 23,7996
31-08-2013,23 - 00,7729
01-09-2013,00 - 01,7296
01-09-2013,01 - 02,7079
01-09-2013,02 - 03,7019
01-09-2013,03 - 04,7005
01-09-2013,04 - 05,6974
01-09-2013,05 - 06,6939
01-09-2013,06 - 07,7014
01-09-2013,07 - 08,7198
01-09-2013,08 - 09,7420
01-09-2013,09 - 10,7640
01-09-2013,10 - 11,7854
01-09-2013,11 - 12,7927
01-09-2013,12 - 13,7946
01-09-2013,13 - 14,7898
01-09-2013,14 - 15,7903
01-09-2013,15 - 16,7882
01-09-2013,16 - 17,7956
01-09-2013,17 - 18,8001
01-09-2013,18 - 19,8053
01-09-2013,19 - 20,8198
01-09-2013,20 - 21,8272
01-09-2013,21 - 22,8208
01-09-2013,22 - 23,8042
01-09-2013,23 - 00,7730
02-09-2013,00 - 01,7295
02-09-2013,01 - 02,7193
02-09-2013,02 - 03,7171
02-09-2013,03 - 04,7203
02-09-2013,04 - 05,7490
02-09-2013,05 - 06,8162
02-09-2013,06 - 07,8830
02-09-2013,07 - 08,9108
02-09-2013,08 - 09,9243
02-09-2013,09 - 10,9305
02-09-2013,10 - 11,9263
02-09-2013,11 - 12,9280
02-09-2013,12 - 13,9148
02-09-2013,13 - 14,9077
02-09-2013,14 - 15,8997
02-09-2013,15 - 16,8854
02-09-2013,16 - 17,8827
02-09-2013,17 - 18,8751
02-09-2013,18 - 19,8831
02-09-2013,19 - 20,9002
02-09-2013,20 - 21,8889
02-09-2013,21 - 22,8600
02-09-2013,22 - 23,8403
02-09-2013,23 - 00,7933
03-09-2013,00 - 01,7523
03-09-2013,01 - 02,7344
03-09-2013,02 - 03,7294
03-09-2013,03 - 04,7352
03-09-2013,04 - 05,7677
03-09-2013,05 - 06,8233
03-09-2013,06 - 07,8945
03-09-2013,07 - 08,9256
03-09-2013,08 - 09,9346
03-09-2013,09 - 10,9344
03-09-2013,10 - 11,9330
03-09-2013,11 - 12,9405
03-09-2013,12 - 13,9195
03-09-2013,13 - 14,9086
03-09-2013,14 - 15,9019
03-09-2013,15 - 16,8889
03-09-2013,16 - 17,8828
03-09-2013,17 - 18,8698
03-09-2013,18 - 19,8829
03-09-2013,19 - 20,9050
03-09-2013,20 - 21,8973
03-09-2013,21 - 22,8638
03-09-2013,22 - 23,8373
03-09-2013,23 - 00,7932
04-09-2013,00 - 01,7541
04-09-2013,01 - 02,7368
04-09-2013,02 - 03,7323
04-09-2013,03 - 04,7375
04-09-2013,04 - 05,7665
04-09-2013,05 - 06,8254
04-09-2013,06 - 07,8871
04-09-2013,07 - 08,9163
04-09-2013,08 - 09,9196
04-09-2013,09 - 10,9224
04-09-2013,10 - 11,9246
04-09-2013,11 - 12,9226
04-09-2013,12 - 13,9131
04-09-2013,13 - 14,9016
04-09-2013,14 - 15,8930
