Date,Hours,PC
08-01-2013,06 - 07,11962
08-01-2013,07 - 08,12251
08-01-2013,08 - 09,12175
08-01-2013,09 - 10,12011
08-01-2013,10 - 11,11961
08-01-2013,11 - 12,11953
08-01-2013,12 - 13,11839
08-01-2013,13 - 14,11794
08-01-2013,14 - 15,11813
08-01-2013,15 - 16,12131
08-01-2013,16 - 17,12095
08-01-2013,17 - 18,12002
08-01-2013,18 - 19,11982
08-01-2013,19 - 20,11757
08-01-2013,20 - 21,11226
08-01-2013,21 - 22,11274
08-01-2013,22 - 23,10888
08-01-2013,23 - 00,10356
09-01-2013,00 - 01,10056
09-01-2013,01 - 02,9822
09-01-2013,02 - 03,9763
09-01-2013,03 - 04,9708
09-01-2013,04 - 05,10153
09-01-2013,05 - 06,11077
09-01-2013,06 - 07,11619
09-01-2013,07 - 08,12004
09-01-2013,08 - 09,11827
09-01-2013,09 - 10,11655
09-01-2013,10 - 11,11632
09-01-2013,11 - 12,11589
09-01-2013,12 - 13,11591
09-01-2013,13 - 14,11577
09-01-2013,14 - 15,11645
09-01-2013,15 - 16,11950
09-01-2013,16 - 17,11940
09-01-2013,17 - 18,11937
09-01-2013,18 - 19,12002
09-01-2013,19 - 20,11789
09-01-2013,20 - 21,11165
09-01-2013,21 - 22,11287
09-01-2013,22 - 23,10969
09-01-2013,23 - 00,10404
10-01-2013,00 - 01,10026
10-01-2013,01 - 02,9826
10-01-2013,02 - 03,9765
10-01-2013,03 - 04,9804
10-01-2013,04 - 05,10242
10-01-2013,05 - 06,11243
10-01-2013,06 - 07,11847
10-01-2013,07 - 08,12215
10-01-2013,08 - 09,11992
10-01-2013,09 - 10,11878
10-01-2013,10 - 11,11826
10-01-2013,11 - 12,11775
10-01-2013,12 - 13,11694
10-01-2013,13 - 14,11745
10-01-2013,14 - 15,11890
10-01-2013,15 - 16,12191
10-01-2013,16 - 17,12182
10-01-2013,17 - 18,12170
10-01-2013,18 - 19,12123
10-01-2013,19 - 20,11959
10-01-2013,20 - 21,11462
10-01-2013,21 - 22,11520
10-01-2013,22 - 23,11255
10-01-2013,23 - 00,10825
11-01-2013,00 - 01,10464
11-01-2013,01 - 02,10220
11-01-2013,02 - 03,10211
11-01-2013,03 - 04,10387
11-01-2013,04 - 05,10773
11-01-2013,05 - 06,11855
11-01-2013,06 - 07,12424
11-01-2013,07 - 08,12774
11-01-2013,08 - 09,12682
11-01-2013,09 - 10,12492
11-01-2013,10 - 11,12488
11-01-2013,11 - 12,12399
11-01-2013,12 - 13,12348
11-01-2013,13 - 14,12305
11-01-2013,14 - 15,12396
11-01-2013,15 - 16,12704
11-01-2013,16 - 17,12839
11-01-2013,17 - 18,12762
11-01-2013,18 - 19,12767
11-01-2013,19 - 20,12388
11-01-2013,20 - 21,11900
11-01-2013,21 - 22,12038
11-01-2013,22 - 23,11776
11-01-2013,23 - 00,11223
12-01-2013,00 - 01,10844
